,req_turning,req_milling,plan,req_sheet_metal,req_sheet_metal_inserts,one_manufacturer,post_id_manuf,sheet_metal_inserts,sheet_metal_weldings,sheet_metal_punching,employees_num,country,predBidProb,manufacturer_name
19,0,1,standard,0,0,0,15212,1,0,1,6-20,TR,0.4260689049752788,FGM TEKNİK
16,0,1,standard,0,0,0,5314,1,1,1,50+,CN,0.3346501061700158,Hongding Photoelectric Technology
13,0,1,standard,0,0,0,4753,1,1,0,6-20,IL,0.25381099156641845,Aloni engineering
11,0,1,standard,0,0,0,2184,1,1,1,6-20,IL,0.2139258939992094,P.D.R ELECTRONICS
15,0,1,standard,0,0,0,5011,0,0,0,6-20,IL,0.19582980482017176,YAAF
13,0,1,standard,0,0,1,4753,1,1,0,6-20,IL,0.4897236199892686,Aloni engineering
11,0,1,standard,0,0,1,2184,1,1,1,6-20,IL,0.3323910378278767,P.D.R ELECTRONICS
19,0,1,standard,0,0,1,15212,1,0,1,6-20,TR,0.2990303664254705,FGM TEKNİK
20,0,1,standard,0,0,1,15228,1,1,1,50+,TR,0.24182444584436688,Metalif Inc.
16,0,1,standard,0,0,1,5314,1,1,1,50+,CN,0.212823474401199,Hongding Photoelectric Technology
16,0,1,standard,0,1,0,5314,1,1,1,50+,CN,0.3321583390642629,Hongding Photoelectric Technology
20,0,1,standard,0,1,0,15228,1,1,1,50+,TR,0.30663816779690894,Metalif Inc.
19,0,1,standard,0,1,0,15212,1,0,1,6-20,TR,0.29898473831715744,FGM TEKNİK
11,0,1,standard,0,1,0,2184,1,1,1,6-20,IL,0.2847443229370348,P.D.R ELECTRONICS
5,0,1,standard,0,1,0,788,1,1,1,21-50,IL,0.11275467196772607,Zahavi steel ltd.
11,0,1,standard,0,1,1,2184,1,1,1,6-20,IL,0.42140277390964853,P.D.R ELECTRONICS
20,0,1,standard,0,1,1,15228,1,1,1,50+,TR,0.3955059244020254,Metalif Inc.
13,0,1,standard,0,1,1,4753,1,1,0,6-20,IL,0.2620607609522512,Aloni engineering
5,0,1,standard,0,1,1,788,1,1,1,21-50,IL,0.2148455881679294,Zahavi steel ltd.
16,0,1,standard,0,1,1,5314,1,1,1,50+,CN,0.21095121353917515,Hongding Photoelectric Technology
5,0,1,urgent,1,0,0,788,1,1,1,21-50,IL,0.6678047106386674,Zahavi steel ltd.
16,0,1,urgent,1,0,0,5314,1,1,1,50+,CN,0.2214872973965819,Hongding Photoelectric Technology
3,0,1,urgent,1,0,0,770,0,0,0,6-20,IL,0.15097883036683724,M.ash presicion mechanics
4,0,1,urgent,1,0,0,774,1,1,1,21-50,IL,0.14811840969454046,R.Benes Metal Ltd.
17,0,1,urgent,1,0,0,7490,1,1,0,6-20,IL,0.1182978061342273,GS ELECTRONIC PACKAGING
5,0,1,urgent,1,0,1,788,1,1,1,21-50,IL,0.8123296173779061,Zahavi steel ltd.
3,0,1,urgent,1,0,1,770,0,0,0,6-20,IL,0.24292842813360488,M.ash presicion mechanics
13,0,1,urgent,1,0,1,4753,1,1,0,6-20,IL,0.20018650404778293,Aloni engineering
20,0,1,urgent,1,0,1,15228,1,1,1,50+,TR,0.1409246883280346,Metalif Inc.
11,0,1,urgent,1,0,1,2184,1,1,1,6-20,IL,0.13768668156703426,P.D.R ELECTRONICS
5,0,1,urgent,1,1,0,788,1,1,1,21-50,IL,0.7357241360471777,Zahavi steel ltd.
16,0,1,urgent,1,1,0,5314,1,1,1,50+,CN,0.21956007748189438,Hongding Photoelectric Technology
4,0,1,urgent,1,1,0,774,1,1,1,21-50,IL,0.20191897557876848,R.Benes Metal Ltd.
17,0,1,urgent,1,1,0,7490,1,1,0,6-20,IL,0.18897595295855665,GS ELECTRONIC PACKAGING
