,req_turning,req_milling,plan,req_sheet_metal,req_sheet_metal_inserts,post_id_project,post_id_manuf,competing_manufacturers,is_manuf_bid,predBidProb
9727,0,1,quick,0,0,2048,5314,"['1266', '1276', '770', '2184']",0,0.3688913282359131
11548,0,1,quick,0,0,2048,15212,"['1266', '1276', '770', '2184']",0,0.27103516131964583
7906,0,1,quick,0,0,2048,4753,"['1266', '1276', '770', '2184']",0,0.2505609548442125
6692,0,1,quick,0,0,2048,2184,"['1266', '1276', '770', '2184']",1,0.22648967101447282
1836,0,1,quick,0,0,2048,770,"['1266', '1276', '770', '2184']",1,0.1807098979547068
9832,1,1,standard,0,0,10241,5314,"['770', '1266', '4753']",0,0.3882999377879541
11653,1,1,standard,0,0,10241,15212,"['770', '1266', '4753']",0,0.3588971462168598
6797,1,1,standard,0,0,10241,2184,"['770', '1266', '4753']",0,0.2320897008628667
8011,1,1,standard,0,0,10241,4753,"['770', '1266', '4753']",1,0.20589115982985465
20758,1,1,standard,0,0,10241,36004,"['770', '1266', '4753']",0,0.1156471124570023
10094,1,1,quick,0,0,30721,5314,['5314'],1,0.37585195151871226
11915,1,1,quick,0,0,30721,15212,['5314'],0,0.27695964137325035
8273,1,1,quick,0,0,30721,4753,['5314'],0,0.25619518324745627
7059,1,1,quick,0,0,30721,2184,['5314'],0,0.23175000157024525
21020,1,1,quick,0,0,30721,36004,['5314'],0,0.1543977865123823
10205,1,1,quick,0,0,40960,5314,"['15212', '15212', '788']",0,0.37585195151871226
12026,1,1,quick,0,0,40960,15212,"['15212', '15212', '788']",1,0.27695964137325035
8384,1,1,quick,0,0,40960,4753,"['15212', '15212', '788']",0,0.25619518324745627
7170,1,1,quick,0,0,40960,2184,"['15212', '15212', '788']",0,0.23175000157024525
21131,1,1,quick,0,0,40960,36004,"['15212', '15212', '788']",0,0.1543977865123823
9990,0,0,quick,1,0,22550,5314,"['15212', '19928']",0,0.2565747300776959
3313,0,0,quick,1,0,22550,788,"['15212', '19928']",0,0.20800624746954133
11811,0,0,quick,1,0,22550,15212,"['15212', '19928']",1,0.1800145006277143
8169,0,0,quick,1,0,22550,4753,"['15212', '19928']",0,0.16486105645209587
6955,0,0,quick,1,0,22550,2184,"['15212', '19928']",0,0.1474035857716251
9787,1,1,quick,0,0,6167,5314,"['770', '5007', '5011', '2184', '4753']",0,0.37585195151871226
11608,1,1,quick,0,0,6167,15212,"['770', '5007', '5011', '2184', '4753']",0,0.27695964137325035
7966,1,1,quick,0,0,6167,4753,"['770', '5007', '5011', '2184', '4753']",1,0.25619518324745627
6752,1,1,quick,0,0,6167,2184,"['770', '5007', '5011', '2184', '4753']",1,0.23175000157024525
20713,1,1,quick,0,0,6167,36004,"['770', '5007', '5011', '2184', '4753']",0,0.1543977865123823
9755,0,0,quick,0,0,4122,5314,"['770', '421', '2184']",0,0.2742462397222401
3078,0,0,quick,0,0,4122,788,"['770', '421', '2184']",0,0.2233375538334836
11576,0,0,quick,0,0,4122,15212,"['770', '421', '2184']",0,0.19378746777411002
7934,0,0,quick,0,0,4122,4753,"['770', '421', '2184']",0,0.1777259191699459
6720,0,0,quick,0,0,4122,2184,"['770', '421', '2184']",1,0.15916579486802973
3550,0,0,urgent,1,0,43036,788,['788'],1,0.4508269786636777
2336,0,0,urgent,1,0,43036,770,['788'],0,0.1599694397119001
10227,0,0,urgent,1,0,43036,5314,['788'],0,0.09901160767098867
8406,0,0,urgent,1,0,43036,4753,['788'],0,0.08936915670974445
9620,0,0,urgent,1,0,43036,5011,['788'],0,0.08823782051323677
9991,1,1,standard,1,0,22557,5314,"['788', '4753', '5314', '2184', '20522']",1,0.36699551564545296
11812,1,1,standard,1,0,22557,15212,"['788', '4753', '5314', '2184', '20522']",0,0.33831371417579104
6956,1,1,standard,1,0,22557,2184,"['788', '4753', '5314', '2184', '20522']",1,0.21632493412315584
8170,1,1,standard,1,0,22557,4753,"['788', '4753', '5314', '2184', '20522']",1,0.1914622454802743
20917,1,1,standard,1,0,22557,36004,"['788', '4753', '5314', '2184', '20522']",0,0.10669282011014311
10075,0,0,standard,0,1,28702,5314,['15228'],0,0.2700864006697801
12503,0,0,standard,0,1,28702,15228,['15228'],1,0.26574151444221683
11896,0,0,standard,0,1,28702,15212,['15228'],0,0.2460345958926901
7040,0,0,standard,0,1,28702,2184,['15228'],0,0.1497874283213346
8254,0,0,standard,0,1,28702,4753,['15228'],0,0.1312908686343774
10162,0,0,standard,0,0,36894,5314,"['15212', '29877', '23582']",0,0.2848649678377532
12590,0,0,standard,0,0,36894,15228,"['15212', '29877', '23582']",0,0.280373660111213
11983,0,0,standard,0,0,36894,15212,"['15212', '29877', '23582']",1,0.25996582752124575
7127,0,0,standard,0,0,36894,2184,"['15212', '29877', '23582']",0,0.1594211782245883
8341,0,0,standard,0,0,36894,4753,"['15212', '29877', '23582']",0,0.139930783924719
2036,0,1,urgent,0,0,18464,770,['4753'],0,0.24386905137423254
9927,0,1,urgent,0,0,18464,5314,['4753'],0,0.156912427457273
8106,0,1,urgent,0,0,18464,4753,['4753'],1,0.14252315914026073
9320,0,1,urgent,0,0,18464,5011,['4753'],0,0.14082299624530306
11748,0,1,urgent,0,0,18464,15212,['4753'],0,0.11407305875844377
9862,1,1,quick,0,0,12331,5314,"['4753', '5011']",0,0.37585195151871226
11683,1,1,quick,0,0,12331,15212,"['4753', '5011']",0,0.27695964137325035
8041,1,1,quick,0,0,12331,4753,"['4753', '5011']",1,0.25619518324745627
6827,1,1,quick,0,0,12331,2184,"['4753', '5011']",0,0.23175000157024525
20788,1,1,quick,0,0,12331,36004,"['4753', '5011']",0,0.1543977865123823
10249,0,0,quick,0,0,45100,5314,"['44404', '5314']",1,0.2742462397222401
3572,0,0,quick,0,0,45100,788,"['44404', '5314']",0,0.2233375538334836
12070,0,0,quick,0,0,45100,15212,"['44404', '5314']",0,0.19378746777411002
8428,0,0,quick,0,0,45100,4753,"['44404', '5314']",0,0.1777259191699459
7214,0,0,quick,0,0,45100,2184,"['44404', '5314']",0,0.15916579486802973
10066,1,1,urgent,0,0,28719,5314,['5011'],0,0.1608929198058874
8245,1,1,urgent,0,0,28719,4753,['5011'],0,0.14620192947822583
11887,1,1,urgent,0,0,28719,15212,['5011'],0,0.11711778270680734
10673,1,1,urgent,0,0,28719,7490,['5011'],0,0.10275792884857582
7031,1,1,urgent,0,0,28719,2184,['5011'],0,0.0885440772086751
10181,0,0,standard,1,0,38962,5314,"['5314', '1714']",1,0.2667607229422619
12609,0,0,standard,1,0,38962,15228,"['5314', '1714']",0,0.26245010024466964
12002,0,0,standard,1,0,38962,15212,"['5314', '1714']",0,0.2429065190726366
7146,0,0,standard,1,0,38962,2184,"['5314', '1714']",0,0.1476434103976142
8360,0,0,standard,1,0,38962,4753,"['5314', '1714']",0,0.12937131957813952
9815,0,0,quick,1,0,8246,5314,['788'],0,0.2565747300776959
3138,0,0,quick,1,0,8246,788,['788'],1,0.20800624746954133
11636,0,0,quick,1,0,8246,15212,['788'],0,0.1800145006277143
7994,0,0,quick,1,0,8246,4753,['788'],0,0.16486105645209587
6780,0,0,quick,1,0,8246,2184,['788'],0,0.1474035857716251
10142,0,0,standard,0,0,34870,5314,['15212'],0,0.2848649678377532
12570,0,0,standard,0,0,34870,15228,['15212'],0,0.280373660111213
11963,0,0,standard,0,0,34870,15212,['15212'],1,0.25996582752124575
7107,0,0,standard,0,0,34870,2184,['15212'],0,0.1594211782245883
8321,0,0,standard,0,0,34870,4753,['15212'],0,0.139930783924719
10164,1,1,urgent,0,0,36920,5314,['770'],0,0.1608929198058874
8343,1,1,urgent,0,0,36920,4753,['770'],0,0.14620192947822583
11985,1,1,urgent,0,0,36920,15212,['770'],0,0.11711778270680734
10771,1,1,urgent,0,0,36920,7490,['770'],0,0.10275792884857582
7129,1,1,urgent,0,0,36920,2184,['770'],0,0.0885440772086751
9788,1,1,quick,0,0,6209,5314,"['5011', '770', '2184', '4753']",0,0.37585195151871226
11609,1,1,quick,0,0,6209,15212,"['5011', '770', '2184', '4753']",0,0.27695964137325035
7967,1,1,quick,0,0,6209,4753,"['5011', '770', '2184', '4753']",1,0.25619518324745627
6753,1,1,quick,0,0,6209,2184,"['5011', '770', '2184', '4753']",1,0.23175000157024525
20714,1,1,quick,0,0,6209,36004,"['5011', '770', '2184', '4753']",0,0.1543977865123823
10304,1,1,quick,0,0,49221,5314,"['29877', '36004', '15212', '25719', '5314', '5314']",1,0.37585195151871226
12125,1,1,quick,0,0,49221,15212,"['29877', '36004', '15212', '25719', '5314', '5314']",1,0.27695964137325035
8483,1,1,quick,0,0,49221,4753,"['29877', '36004', '15212', '25719', '5314', '5314']",0,0.25619518324745627
7269,1,1,quick,0,0,49221,2184,"['29877', '36004', '15212', '25719', '5314', '5314']",0,0.23175000157024525
21230,1,1,quick,0,0,49221,36004,"['29877', '36004', '15212', '25719', '5314', '5314']",1,0.1543977865123823
10114,0,0,quick,1,0,32842,5314,['788'],0,0.2565747300776959
3437,0,0,quick,1,0,32842,788,['788'],1,0.20800624746954133
11935,0,0,quick,1,0,32842,15212,['788'],0,0.1800145006277143
8293,0,0,quick,1,0,32842,4753,['788'],0,0.16486105645209587
7079,0,0,quick,1,0,32842,2184,['788'],0,0.1474035857716251
10209,0,0,standard,1,0,41034,5314,"['5314', '1714', '15228']",1,0.2667607229422619
12637,0,0,standard,1,0,41034,15228,"['5314', '1714', '15228']",1,0.26245010024466964
12030,0,0,standard,1,0,41034,15212,"['5314', '1714', '15228']",0,0.2429065190726366
7174,0,0,standard,1,0,41034,2184,"['5314', '1714', '15228']",0,0.1476434103976142
8388,0,0,standard,1,0,41034,4753,"['5314', '1714', '15228']",0,0.12937131957813952
9963,1,1,quick,0,0,20555,5314,"['4753', '2184']",0,0.37585195151871226
11784,1,1,quick,0,0,20555,15212,"['4753', '2184']",0,0.27695964137325035
8142,1,1,quick,0,0,20555,4753,"['4753', '2184']",1,0.25619518324745627
6928,1,1,quick,0,0,20555,2184,"['4753', '2184']",1,0.23175000157024525
20889,1,1,quick,0,0,20555,36004,"['4753', '2184']",0,0.1543977865123823
9833,1,1,standard,0,0,10317,5314,"['770', '4753']",0,0.3882999377879541
11654,1,1,standard,0,0,10317,15212,"['770', '4753']",0,0.3588971462168598
6798,1,1,standard,0,0,10317,2184,"['770', '4753']",0,0.2320897008628667
8012,1,1,standard,0,0,10317,4753,"['770', '4753']",1,0.20589115982985465
20759,1,1,standard,0,0,10317,36004,"['770', '4753']",0,0.1156471124570023
10115,0,0,quick,0,1,32846,5314,"['788', '5314', '5314']",1,0.25981841734709704
3438,0,0,quick,0,1,32846,788,"['788', '5314', '5314']",1,0.21081003277751806
11936,0,0,quick,0,1,32846,15212,"['788', '5314', '5314']",0,0.1825279331637147
8294,0,0,quick,0,1,32846,4753,"['788', '5314', '5314']",0,0.167206054355199
7080,0,0,quick,0,1,32846,2184,"['788', '5314', '5314']",0,0.14954473208257377
3413,0,0,urgent,1,1,30800,788,['788'],1,0.4326473583110625
2199,0,0,urgent,1,1,30800,770,['788'],0,0.15030848298377286
10090,0,0,urgent,1,1,30800,5314,['788'],0,0.09262611784298824
8269,0,0,urgent,1,1,30800,4753,['788'],0,0.08354786614274004
9483,0,0,urgent,1,1,30800,5011,['788'],0,0.08248354749392106
9728,0,1,standard,0,0,2136,5314,"['1276', '770', '2184', '742']",0,0.38124959899180205
11549,0,1,standard,0,0,2136,15212,"['1276', '770', '2184', '742']",0,0.35207339807839666
6693,0,1,standard,0,0,2136,2184,"['1276', '770', '2184', '742']",1,0.22682393624593855
7907,0,1,standard,0,0,2136,4753,"['1276', '770', '2184', '742']",0,0.20106416566771976
9121,0,1,standard,0,0,2136,5011,"['1276', '770', '2184', '742']",0,0.12583259236200184
10279,0,1,standard,0,0,47192,5314,['36004'],0,0.38124959899180205
12100,0,1,standard,0,0,47192,15212,['36004'],0,0.35207339807839666
7244,0,1,standard,0,0,47192,2184,['36004'],0,0.22682393624593855
8458,0,1,standard,0,0,47192,4753,['36004'],0,0.20106416566771976
9672,0,1,standard,0,0,47192,5011,['36004'],0,0.12583259236200184
10091,1,1,standard,0,0,30809,5314,"['15212', '5314']",1,0.3882999377879541
11912,1,1,standard,0,0,30809,15212,"['15212', '5314']",1,0.3588971462168598
7056,1,1,standard,0,0,30809,2184,"['15212', '5314']",0,0.2320897008628667
8270,1,1,standard,0,0,30809,4753,"['15212', '5314']",0,0.20589115982985465
21017,1,1,standard,0,0,30809,36004,"['15212', '5314']",0,0.1156471124570023
9881,0,0,quick,1,0,14427,5314,"['4753', '5314', '788']",1,0.2565747300776959
3204,0,0,quick,1,0,14427,788,"['4753', '5314', '788']",1,0.20800624746954133
11702,0,0,quick,1,0,14427,15212,"['4753', '5314', '788']",0,0.1800145006277143
8060,0,0,quick,1,0,14427,4753,"['4753', '5314', '788']",1,0.16486105645209587
6846,0,0,quick,1,0,14427,2184,"['4753', '5314', '788']",0,0.1474035857716251
2037,0,1,urgent,0,0,18523,770,"['770', '5011']",1,0.24386905137423254
9928,0,1,urgent,0,0,18523,5314,"['770', '5011']",0,0.156912427457273
8107,0,1,urgent,0,0,18523,4753,"['770', '5011']",0,0.14252315914026073
9321,0,1,urgent,0,0,18523,5011,"['770', '5011']",1,0.14082299624530306
11749,0,1,urgent,0,0,18523,15212,"['770', '5011']",0,0.11407305875844377
9816,1,1,quick,0,0,8287,5314,"['770', '7490', '4753', '5011']",0,0.37585195151871226
11637,1,1,quick,0,0,8287,15212,"['770', '7490', '4753', '5011']",0,0.27695964137325035
7995,1,1,quick,0,0,8287,4753,"['770', '7490', '4753', '5011']",1,0.25619518324745627
6781,1,1,quick,0,0,8287,2184,"['770', '7490', '4753', '5011']",0,0.23175000157024525
20742,1,1,quick,0,0,8287,36004,"['770', '7490', '4753', '5011']",0,0.1543977865123823
1898,0,1,urgent,0,0,6246,770,"['770', '5011']",1,0.24386905137423254
9789,0,1,urgent,0,0,6246,5314,"['770', '5011']",0,0.156912427457273
7968,0,1,urgent,0,0,6246,4753,"['770', '5011']",0,0.14252315914026073
9182,0,1,urgent,0,0,6246,5011,"['770', '5011']",1,0.14082299624530306
11610,0,1,urgent,0,0,6246,15212,"['770', '5011']",0,0.11407305875844377
9863,0,1,quick,0,0,12394,5314,['5011'],0,0.3688913282359131
11684,0,1,quick,0,0,12394,15212,['5011'],0,0.27103516131964583
8042,0,1,quick,0,0,12394,4753,['5011'],0,0.2505609548442125
6828,0,1,quick,0,0,12394,2184,['5011'],0,0.22648967101447282
1972,0,1,quick,0,0,12394,770,['5011'],0,0.1807098979547068
10206,0,0,quick,0,0,41066,5314,"['770', '15212', '5314']",1,0.2742462397222401
3529,0,0,quick,0,0,41066,788,"['770', '15212', '5314']",0,0.2233375538334836
12027,0,0,quick,0,0,41066,15212,"['770', '15212', '5314']",1,0.19378746777411002
8385,0,0,quick,0,0,41066,4753,"['770', '15212', '5314']",0,0.1777259191699459
7171,0,0,quick,0,0,41066,2184,"['770', '15212', '5314']",0,0.15916579486802973
10280,0,0,quick,0,0,47210,5314,"['15212', '36004', '5314', '44404']",1,0.2742462397222401
3603,0,0,quick,0,0,47210,788,"['15212', '36004', '5314', '44404']",0,0.2233375538334836
12101,0,0,quick,0,0,47210,15212,"['15212', '36004', '5314', '44404']",1,0.19378746777411002
8459,0,0,quick,0,0,47210,4753,"['15212', '36004', '5314', '44404']",0,0.1777259191699459
7245,0,0,quick,0,0,47210,2184,"['15212', '36004', '5314', '44404']",0,0.15916579486802973
10305,1,1,quick,0,0,49263,5314,"['36004', '44404', '5314']",1,0.37585195151871226
12126,1,1,quick,0,0,49263,15212,"['36004', '44404', '5314']",0,0.27695964137325035
8484,1,1,quick,0,0,49263,4753,"['36004', '44404', '5314']",0,0.25619518324745627
7270,1,1,quick,0,0,49263,2184,"['36004', '44404', '5314']",0,0.23175000157024525
21231,1,1,quick,0,0,49263,36004,"['36004', '44404', '5314']",1,0.1543977865123823
1899,0,1,urgent,0,0,6256,770,['5011'],0,0.24386905137423254
9790,0,1,urgent,0,0,6256,5314,['5011'],0,0.156912427457273
7969,0,1,urgent,0,0,6256,4753,['5011'],0,0.14252315914026073
9183,0,1,urgent,0,0,6256,5011,['5011'],1,0.14082299624530306
11611,0,1,urgent,0,0,6256,15212,['5011'],0,0.11407305875844377
10002,0,0,quick,0,1,22657,5314,[],0,0.25981841734709704
3325,0,0,quick,0,1,22657,788,[],0,0.21081003277751806
11823,0,0,quick,0,1,22657,15212,[],0,0.1825279331637147
8181,0,0,quick,0,1,22657,4753,[],0,0.167206054355199
6967,0,0,quick,0,1,22657,2184,[],0,0.14954473208257377
10316,0,0,quick,1,0,51330,5314,"['5314', '36004']",1,0.2565747300776959
3639,0,0,quick,1,0,51330,788,"['5314', '36004']",0,0.20800624746954133
12137,0,0,quick,1,0,51330,15212,"['5314', '36004']",0,0.1800145006277143
8495,0,0,quick,1,0,51330,4753,"['5314', '36004']",0,0.16486105645209587
7281,0,0,quick,1,0,51330,2184,"['5314', '36004']",0,0.1474035857716251
9864,0,0,standard,1,0,12423,5314,['7490'],0,0.2667607229422619
12292,0,0,standard,1,0,12423,15228,['7490'],0,0.26245010024466964
11685,0,0,standard,1,0,12423,15212,['7490'],0,0.2429065190726366
6829,0,0,standard,1,0,12423,2184,['7490'],0,0.1476434103976142
8043,0,0,standard,1,0,12423,4753,['7490'],0,0.12937131957813952
9883,1,1,standard,0,0,14474,5314,['4753'],0,0.3882999377879541
11704,1,1,standard,0,0,14474,15212,['4753'],0,0.3588971462168598
6848,1,1,standard,0,0,14474,2184,['4753'],0,0.2320897008628667
8062,1,1,standard,0,0,14474,4753,['4753'],1,0.20589115982985465
20809,1,1,standard,0,0,14474,36004,['4753'],0,0.1156471124570023
10296,0,0,standard,1,0,45197,5314,['42272'],0,0.2667607229422619
12724,0,0,standard,1,0,45197,15228,['42272'],0,0.26245010024466964
12117,0,0,standard,1,0,45197,15212,['42272'],0,0.2429065190726366
7261,0,0,standard,1,0,45197,2184,['42272'],0,0.1476434103976142
8475,0,0,standard,1,0,45197,4753,['42272'],0,0.12937131957813952
10001,0,0,quick,1,1,22674,5314,"['20224', '15228']",0,0.24276560887590046
3324,0,0,quick,1,1,22674,788,"['20224', '15228']",0,0.196121537074463
11822,0,0,quick,1,1,22674,15212,"['20224', '15228']",0,0.16938707670595898
8180,0,0,quick,1,1,22674,4753,"['20224', '15228']",0,0.15495917782599047
6966,0,0,quick,1,1,22674,2184,"['20224', '15228']",0,0.1383765032432573
3344,0,0,urgent,1,0,24732,788,['788'],1,0.4508269786636777
2130,0,0,urgent,1,0,24732,770,['788'],0,0.1599694397119001
10021,0,0,urgent,1,0,24732,5314,['788'],0,0.09901160767098867
8200,0,0,urgent,1,0,24732,4753,['788'],0,0.08936915670974445
9414,0,0,urgent,1,0,24732,5011,['788'],0,0.08823782051323677
9817,1,1,quick,0,0,8353,5314,['770'],0,0.37585195151871226
11638,1,1,quick,0,0,8353,15212,['770'],0,0.27695964137325035
7996,1,1,quick,0,0,8353,4753,['770'],0,0.25619518324745627
6782,1,1,quick,0,0,8353,2184,['770'],0,0.23175000157024525
20743,1,1,quick,0,0,8353,36004,['770'],0,0.1543977865123823
10044,0,0,standard,1,1,26789,5314,"['15212', '15228']",0,0.2525896469876403
12472,0,0,standard,1,1,26789,15228,"['15212', '15228']",1,0.2484304312244712
11865,0,0,standard,1,1,26789,15212,"['15212', '15228']",1,0.22960583474913043
7009,0,0,standard,1,1,26789,2184,"['15212', '15228']",0,0.1386040284892661
8223,0,0,standard,1,1,26789,4753,"['15212', '15228']",0,0.12129144361133627
10314,0,0,standard,1,0,49318,5314,['15228'],0,0.2667607229422619
12742,0,0,standard,1,0,49318,15228,['15228'],1,0.26245010024466964
12135,0,0,standard,1,0,49318,15212,['15228'],0,0.2429065190726366
7279,0,0,standard,1,0,49318,2184,['15228'],0,0.1476434103976142
8493,0,0,standard,1,0,49318,4753,['15228'],0,0.12937131957813952
9729,1,1,quick,0,0,2214,5314,"['770', '2184', '1276']",0,0.37585195151871226
11550,1,1,quick,0,0,2214,15212,"['770', '2184', '1276']",0,0.27695964137325035
7908,1,1,quick,0,0,2214,4753,"['770', '2184', '1276']",0,0.25619518324745627
6694,1,1,quick,0,0,2214,2184,"['770', '2184', '1276']",1,0.23175000157024525
20655,1,1,quick,0,0,2214,36004,"['770', '2184', '1276']",0,0.1543977865123823
10229,1,1,quick,0,0,43176,5314,"['15212', '15212', '36004', '5314', '5314']",1,0.37585195151871226
12050,1,1,quick,0,0,43176,15212,"['15212', '15212', '36004', '5314', '5314']",1,0.27695964137325035
8408,1,1,quick,0,0,43176,4753,"['15212', '15212', '36004', '5314', '5314']",0,0.25619518324745627
7194,1,1,quick,0,0,43176,2184,"['15212', '15212', '36004', '5314', '5314']",0,0.23175000157024525
21155,1,1,quick,0,0,43176,36004,"['15212', '15212', '36004', '5314', '5314']",1,0.1543977865123823
10228,0,1,quick,0,0,43180,5314,"['19928', '36004', '5314']",1,0.3688913282359131
12049,0,1,quick,0,0,43180,15212,"['19928', '36004', '5314']",0,0.27103516131964583
8407,0,1,quick,0,0,43180,4753,"['19928', '36004', '5314']",0,0.2505609548442125
7193,0,1,quick,0,0,43180,2184,"['19928', '36004', '5314']",0,0.22648967101447282
2337,0,1,quick,0,0,43180,770,"['19928', '36004', '5314']",0,0.1807098979547068
9910,0,0,quick,1,1,16560,5314,"['15228', '15611', '788']",0,0.24276560887590046
3233,0,0,quick,1,1,16560,788,"['15228', '15611', '788']",1,0.196121537074463
11731,0,0,quick,1,1,16560,15212,"['15228', '15611', '788']",0,0.16938707670595898
8089,0,0,quick,1,1,16560,4753,"['15228', '15611', '788']",0,0.15495917782599047
6875,0,0,quick,1,1,16560,2184,"['15228', '15611', '788']",0,0.1383765032432573
10307,0,0,standard,1,0,49333,5314,['36004'],0,0.2667607229422619
12735,0,0,standard,1,0,49333,15228,['36004'],0,0.26245010024466964
12128,0,0,standard,1,0,49333,15212,['36004'],0,0.2429065190726366
7272,0,0,standard,1,0,49333,2184,['36004'],0,0.1476434103976142
8486,0,0,standard,1,0,49333,4753,['36004'],0,0.12937131957813952
9966,0,0,standard,1,0,20665,5314,"['5314', '20224']",1,0.2667607229422619
12394,0,0,standard,1,0,20665,15228,"['5314', '20224']",0,0.26245010024466964
11787,0,0,standard,1,0,20665,15212,"['5314', '20224']",0,0.2429065190726366
6931,0,0,standard,1,0,20665,2184,"['5314', '20224']",0,0.1476434103976142
8145,0,0,standard,1,0,20665,4753,"['5314', '20224']",0,0.12937131957813952
10163,1,1,standard,0,0,37051,5314,['15212'],0,0.3882999377879541
11984,1,1,standard,0,0,37051,15212,['15212'],1,0.3588971462168598
7128,1,1,standard,0,0,37051,2184,['15212'],0,0.2320897008628667
8342,1,1,standard,0,0,37051,4753,['15212'],0,0.20589115982985465
21089,1,1,standard,0,0,37051,36004,['15212'],0,0.1156471124570023
9867,0,1,standard,0,0,12477,5314,['742'],0,0.38124959899180205
11688,0,1,standard,0,0,12477,15212,['742'],0,0.35207339807839666
6832,0,1,standard,0,0,12477,2184,['742'],0,0.22682393624593855
8046,0,1,standard,0,0,12477,4753,['742'],0,0.20106416566771976
9260,0,1,standard,0,0,12477,5011,['742'],0,0.12583259236200184
3255,0,0,urgent,0,0,18622,788,['5314'],0,0.4733587456177517
2041,0,0,urgent,0,0,18622,770,['5314'],0,0.17253144578248922
9932,0,0,urgent,0,0,18622,5314,['5314'],1,0.10739875127559101
8111,0,0,urgent,0,0,18622,4753,['5314'],0,0.09702746206921489
9325,0,0,urgent,0,0,18622,5011,['5314'],0,0.09580937840485486
3188,0,0,urgent,0,1,12485,788,['788'],1,0.45502335672630057
1974,0,0,urgent,0,1,12485,770,['788'],0,0.16225837723304953
9865,0,0,urgent,0,1,12485,5314,['788'],0,0.10053270956772903
8044,0,0,urgent,0,1,12485,4753,['788'],0,0.09075704472567123
9258,0,0,urgent,0,1,12485,5011,['788'],0,0.08960986797594682
9930,0,1,standard,0,0,18643,5314,"['770', '4753', '5011', '5314']",1,0.38124959899180205
11751,0,1,standard,0,0,18643,15212,"['770', '4753', '5011', '5314']",0,0.35207339807839666
6895,0,1,standard,0,0,18643,2184,"['770', '4753', '5011', '5314']",0,0.22682393624593855
8109,0,1,standard,0,0,18643,4753,"['770', '4753', '5011', '5314']",1,0.20106416566771976
9323,0,1,standard,0,0,18643,5011,"['770', '4753', '5011', '5314']",1,0.12583259236200184
10051,0,0,quick,1,0,26844,5314,['15611'],0,0.2565747300776959
3374,0,0,quick,1,0,26844,788,['15611'],0,0.20800624746954133
11872,0,0,quick,1,0,26844,15212,['15611'],0,0.1800145006277143
8230,0,0,quick,1,0,26844,4753,['15611'],0,0.16486105645209587
7016,0,0,quick,1,0,26844,2184,['15611'],0,0.1474035857716251
10306,0,1,standard,1,1,49373,5314,"['15212', '4753']",0,0.34329613841582723
12127,0,1,standard,1,1,49373,15212,"['15212', '4753']",1,0.3155432317647962
7271,0,1,standard,1,1,49373,2184,"['15212', '4753']",0,0.19929208466518608
8485,0,1,standard,1,1,49373,4753,"['15212', '4753']",1,0.17594750072466234
9699,0,1,standard,1,1,49373,5011,"['15212', '4753']",0,0.10883355275271465
9992,0,1,quick,0,0,22758,5314,"['4753', '19924', '15212']",0,0.3688913282359131
11813,0,1,quick,0,0,22758,15212,"['4753', '19924', '15212']",1,0.27103516131964583
8171,0,1,quick,0,0,22758,4753,"['4753', '19924', '15212']",1,0.2505609548442125
6957,0,1,quick,0,0,22758,2184,"['4753', '19924', '15212']",0,0.22648967101447282
2101,0,1,quick,0,0,22758,770,"['4753', '19924', '15212']",0,0.1807098979547068
9730,0,0,quick,1,0,2281,5314,"['788', '2184', '774']",0,0.2565747300776959
3053,0,0,quick,1,0,2281,788,"['788', '2184', '774']",1,0.20800624746954133
11551,0,0,quick,1,0,2281,15212,"['788', '2184', '774']",0,0.1800145006277143
7909,0,0,quick,1,0,2281,4753,"['788', '2184', '774']",0,0.16486105645209587
6695,0,0,quick,1,0,2281,2184,"['788', '2184', '774']",1,0.1474035857716251
10254,1,1,urgent,0,0,45291,5314,['770'],0,0.1608929198058874
8433,1,1,urgent,0,0,45291,4753,['770'],0,0.14620192947822583
12075,1,1,urgent,0,0,45291,15212,['770'],0,0.11711778270680734
10861,1,1,urgent,0,0,45291,7490,['770'],0,0.10275792884857582
7219,1,1,urgent,0,0,45291,2184,['770'],0,0.0885440772086751
9791,0,1,quick,0,0,6380,5314,['2184'],0,0.3688913282359131
11612,0,1,quick,0,0,6380,15212,['2184'],0,0.27103516131964583
7970,0,1,quick,0,0,6380,4753,['2184'],0,0.2505609548442125
6756,0,1,quick,0,0,6380,2184,['2184'],1,0.22648967101447282
1900,0,1,quick,0,0,6380,770,['2184'],0,0.1807098979547068
9989,0,1,quick,0,0,22765,5314,"['15212', '4753', '19924']",0,0.3688913282359131
11810,0,1,quick,0,0,22765,15212,"['15212', '4753', '19924']",1,0.27103516131964583
8168,0,1,quick,0,0,22765,4753,"['15212', '4753', '19924']",1,0.2505609548442125
6954,0,1,quick,0,0,22765,2184,"['15212', '4753', '19924']",0,0.22648967101447282
2098,0,1,quick,0,0,22765,770,"['15212', '4753', '19924']",0,0.1807098979547068
9732,1,1,quick,0,0,2290,5314,['770'],0,0.37585195151871226
11553,1,1,quick,0,0,2290,15212,['770'],0,0.27695964137325035
7911,1,1,quick,0,0,2290,4753,['770'],0,0.25619518324745627
6697,1,1,quick,0,0,2290,2184,['770'],0,0.23175000157024525
20658,1,1,quick,0,0,2290,36004,['770'],0,0.1543977865123823
9757,1,1,urgent,0,0,4338,5314,"['1266', '421', '407']",0,0.1608929198058874
