req_turning,req_milling,plan,req_sheet_metal,req_sheet_metal_inserts,one_manufacturer,num_distinct_parts_binned,separator,manufacturer_name,post_id_manuf,predBidProb
0,1,quick,1,1,1,>=20,,P.D.R ELECTRONICS,2184,0.43552274656927814
0,1,quick,1,1,1,>=20,,Hongding Photoelectric Technology,5314,0.27676217367433653
0,1,quick,1,1,1,>=20,,Aloni engineering,4753,0.24483929415168015
0,1,quick,1,1,1,[11-20),,Zahavi steel ltd.,788,0.6090119645987303
0,1,quick,1,1,1,[11-20),,P.D.R ELECTRONICS,2184,0.47053819948898434
0,1,quick,1,1,1,[11-20),,Metalif Inc.,15228,0.44200641400499907
0,1,quick,1,1,1,[11-20),,Hongding Photoelectric Technology,5314,0.24043038901334055
0,1,quick,1,1,1,[11-20),,"א.ל. כרסומטל זיווד בע""מ",19928,0.17659109750180887
0,1,quick,0,0,0,[4-11),,Hongding Photoelectric Technology,5314,0.37995464321703193
0,1,quick,0,0,0,[4-11),,M.ash presicion mechanics,770,0.31732335362844366
0,1,quick,0,0,0,[4-11),,FGM TEKNİK,15212,0.29530408774817074
0,1,quick,0,0,0,[4-11),,Aloni engineering,4753,0.27704058989599073
0,1,quick,0,0,0,[4-11),,P.D.R ELECTRONICS,2184,0.20982967627164512
0,1,quick,0,0,0,[1-4),,FGM TEKNİK,15212,0.32885625890218395
0,1,quick,0,0,0,[1-4),,Hongding Photoelectric Technology,5314,0.32615366186583433
0,1,quick,0,0,0,[1-4),,Aloni engineering,4753,0.2755936789453126
0,1,quick,0,0,0,[1-4),,P.D.R ELECTRONICS,2184,0.20529778817083646
0,1,quick,0,0,0,[1-4),,YAAF,5011,0.19969089723696806
0,1,quick,0,0,0,>=20,,Aloni engineering,4753,0.4642126936424991
0,1,quick,0,0,0,>=20,,M.ash presicion mechanics,770,0.35379994566114875
0,1,quick,0,0,0,>=20,,Hongding Photoelectric Technology,5314,0.302555812757629
0,1,quick,0,0,0,>=20,,P.D.R ELECTRONICS,2184,0.2770587107467288
0,1,quick,0,0,0,>=20,,FGM TEKNİK,15212,0.24787309044784336
0,1,quick,0,0,0,[11-20),,YAAF,5011,0.3553970928675663
0,1,quick,0,0,0,[11-20),,FGM TEKNİK,15212,0.3079077369871119
0,1,quick,0,0,0,[11-20),,P.D.R ELECTRONICS,2184,0.3062458594529558
0,1,quick,0,0,0,[11-20),,M.ash presicion mechanics,770,0.29302211264053807
0,1,quick,0,0,0,[11-20),,Aloni engineering,4753,0.2918340414812474
0,1,quick,0,0,1,[4-11),,Aloni engineering,4753,0.5219923145891363
0,1,quick,0,0,1,[4-11),,M.ash presicion mechanics,770,0.4450869746436894
0,1,quick,0,0,1,[4-11),,P.D.R ELECTRONICS,2184,0.3252737225131861
0,1,quick,0,0,1,[4-11),,Hongding Photoelectric Technology,5314,0.24743465545040444
0,1,quick,0,0,1,[4-11),,FGM TEKNİK,15212,0.19465993979331142
0,1,quick,0,0,1,[1-4),,Aloni engineering,4753,0.5201865852110437
