agency,post_id_manuf,num_bids
19423,7490,1
4695,1266,1
18268,23680,1
4121,770,1
1198,15228,1
30807,29877,1
19423,4753,1
2191,21576,1
9174,774,1
8448,19928,1
39988,21576,1
39560,2184,1
14689,770,1
14418,15228,1
4121,421,1
15532,2184,1
3094,740,1
8448,15141,1
14689,15611,1
14418,15141,1
34124,15212,1
18268,770,1
19394,5011,1
1198,1670,1
14689,36004,1
8448,790,1
1198,2194,1
4121,2184,1
34369,5011,1
17552,23710,1
14689,5011,1
41065,770,1
14689,4753,1
8448,4753,1
34369,4753,1
30718,23710,1
4495,7490,1
30718,25719,1
3094,742,1
2191,4753,1
39560,5314,1
15532,4753,1
15532,15611,1
47364,788,1
4695,2194,1
41065,15212,1
28706,19928,1
3094,4753,1
3094,5007,1
8623,2184,1
3094,5011,1
12073,12002,1
19394,740,1
15532,7490,1
39988,15212,1
4695,5011,1
8623,7490,1
35520,5314,1
35520,5011,1
2191,19924,1
39560,15212,1
41065,5314,1
8623,770,1
2191,5011,1
4495,4753,1
39560,29877,1
34369,770,1
28706,5314,1
4695,11093,1
12073,29877,1
40959,15212,1
18268,19928,1
3094,788,1
3094,790,1
12258,742,1
34369,768,1
3094,1266,1
2191,19928,1
17922,4753,1
12073,770,1
19423,15611,1
8448,5007,1
17552,770,1
9174,788,1
12248,770,1
30807,15212,1
28259,15212,1
4695,788,1
39988,5314,1
1557,1266,1
1557,774,1
12067,1266,1
12067,5011,1
12248,1266,1
12248,7490,1
7989,7490,1
34369,23582,1
8884,7490,1
9174,1266,1
18268,36004,1
4495,788,1
30718,21576,1
29186,15212,1
44128,44404,1
39988,35999,1
17552,4753,1
19609,788,1
39988,2184,1
12067,4753,1
12248,5011,1
39988,29877,1
28259,5314,1
22536,788,1
40190,42272,1
8884,2194,1
9174,2184,1
1198,768,1
19393,19928,1
35520,15212,1
12067,770,1
22536,5314,1
18268,44404,1
19423,19924,1
3917,2184,1
18268,788,1
1557,742,1
29186,23680,1
1557,1670,1
22536,20522,1
22536,2184,1
12067,2194,1
3917,5011,1
22536,4753,1
39988,7490,1
12248,4753,1
1198,766,1
17552,15228,1
14689,15228,1
4495,12002,1
35676,38958,0
35676,36004,0
3656,15189,0
35676,29877,0
34472,24491,0
35676,35999,0
3656,4753,0
34472,20522,0
34472,29775,0
3656,19573,0
3656,19571,0
35676,21576,0
35676,21638,0
35676,23582,0
35520,20224,0
35676,23680,0
34472,20224,0
35676,23710,0
3656,15865,0
35676,29775,0
3656,15611,0
34472,25719,0
35676,24491,0
35520,7490,0
35520,19928,0
3656,15228,0
3656,15212,0
35676,25719,0
3656,15203,0
35520,11093,0
3656,740,0
35676,42272,0
3656,887,0
34472,23582,0
35520,15865,0
34472,21638,0
35676,20522,0
35520,15611,0
35520,15151,0
3656,1276,0
3656,1670,0
3656,1684,0
35520,15189,0
35520,15228,0
3656,1714,0
35520,15203,0
3656,8183,0
3656,7490,0
3656,5314,0
3656,5011,0
3656,2184,0
3656,2194,0
3656,5007,0
34472,21576,0
34472,20636,0
35520,19571,0
35520,12002,0
3656,11093,0
35520,8183,0
35520,15141,0
35676,44404,0
3656,407,0
3656,15151,0
3656,15141,0
3656,421,0
34472,23710,0
3656,742,0
3656,756,0
3656,766,0
35520,19924,0
34472,23680,0
35520,19776,0
3656,768,0
35520,19573,0
3656,12002,0
3656,770,0
3656,774,0
3656,788,0
3656,790,0
35676,20636,0
35571,15611,0
34472,29877,0
35571,42272,0
35571,24491,0
35571,25719,0
35571,1276,0
35571,1266,0
35571,887,0
35571,29775,0
35571,29877,0
35571,790,0
35571,788,0
35571,774,0
35571,35999,0
35571,770,0
35520,1266,0
35571,38958,0
35571,44404,0
35571,1684,0
35520,887,0
35571,768,0
35571,766,0
35676,407,0
35571,756,0
35520,790,0
35520,788,0
35676,421,0
35676,740,0
35676,742,0
35520,774,0
35571,742,0
35676,756,0
35571,740,0
35571,1670,0
35571,23710,0
35676,20224,0
35571,11093,0
35571,15865,0
35571,15228,0
35520,1670,0
35571,19571,0
35571,19573,0
35571,15203,0
35520,1684,0
35520,1714,0
35571,19776,0
35571,15189,0
35571,15151,0
35571,15141,0
35571,12002,0
35571,19924,0
35571,8183,0
35571,1714,0
35520,1276,0
3656,19776,0
35571,7490,0
35571,5011,0
35571,5007,0
35571,4753,0
35571,20224,0
35571,20522,0
35571,20636,0
35571,2194,0
35571,2184,0
35571,21576,0
35571,21638,0
35571,23582,0
35571,421,0
35676,766,0
35676,768,0
35520,21638,0
35676,12002,0
35676,15141,0
35520,25719,0
35676,15151,0
35520,421,0
35520,407,0
34472,44404,0
35520,24491,0
34472,42272,0
35676,15189,0
35520,23710,0
35520,23680,0
35520,23582,0
35676,15203,0
35676,15228,0
35571,407,0
35676,15611,0
35676,15865,0
35676,19571,0
35520,21576,0
35520,5007,0
35520,20636,0
35676,19573,0
35676,19776,0
35676,19924,0
35676,19928,0
34472,38958,0
35520,20522,0
34472,36004,0
34472,35999,0
35520,29775,0
35520,740,0
35520,29877,0
35520,35999,0
35676,770,0
35676,774,0
35676,788,0
35676,790,0
35676,887,0
35676,1266,0
35676,1276,0
35676,1670,0
35676,1684,0
35676,1714,0
35676,2184,0
35676,2194,0
35676,4753,0
35676,5007,0
35520,44404,0
35520,42272,0
35676,5011,0
35520,2184,0
35520,768,0
35520,2194,0
35520,38958,0
35520,766,0
35676,7490,0
35520,4753,0
35676,8183,0
35676,11093,0
35520,756,0
35520,36004,0
35520,742,0
35571,23680,0
37546,15189,0
3656,19924,0
39560,15141,0
39560,19776,0
39560,19573,0
39560,19571,0
39560,15865,0
39560,15611,0
39560,15228,0
39560,15203,0
39560,15189,0
39560,15151,0
39560,12002,0
39560,1276,0
39560,11093,0
39560,8183,0
39560,7490,0
39560,5011,0
39560,5007,0
39560,4753,0
39560,2194,0
39560,1714,0
39560,1684,0
39560,19924,0
39560,19928,0
39560,20224,0
39560,20522,0
39988,756,0
39988,742,0
39988,740,0
39988,421,0
39988,407,0
39560,44404,0
39560,42272,0
39560,38958,0
39560,36004,0
39560,35999,0
39560,29775,0
39560,25719,0
39560,24491,0
39560,23710,0
39560,23680,0
39560,23582,0
39560,21638,0
39560,21576,0
39560,20636,0
39560,1670,0
39560,1266,0
3917,7490,0
3917,19571,0
3917,21638,0
3917,21576,0
3917,20636,0
3917,20522,0
3917,20224,0
3917,19928,0
3917,19924,0
3917,19776,0
3917,19573,0
3917,15865,0
39560,887,0
3917,15611,0
3917,15228,0
3917,15212,0
3917,15203,0
3917,15189,0
3917,15151,0
3917,15141,0
3917,12002,0
3917,11093,0
3917,23582,0
3917,23680,0
3917,23710,0
3917,24491,0
39560,790,0
39560,788,0
39560,774,0
39560,770,0
39560,768,0
39560,766,0
39560,756,0
39560,742,0
39560,740,0
39560,421,0
39560,407,0
3917,44404,0
3917,42272,0
3917,38958,0
3917,36004,0
3917,35999,0
3917,29877,0
3917,29775,0
3917,25719,0
39988,766,0
39988,768,0
39988,770,0
40190,1684,0
40190,15141,0
40190,12002,0
40190,11093,0
40190,8183,0
40190,7490,0
40190,5011,0
40190,5007,0
40190,4753,0
40190,2194,0
40190,1670,0
39988,774,0
40190,1276,0
40190,1266,0
40190,887,0
40190,790,0
40190,788,0
40190,774,0
40190,770,0
40190,768,0
40190,766,0
40190,15151,0
40190,15189,0
40190,15203,0
40190,15611,0
40190,38958,0
40190,35999,0
40190,29775,0
40190,25719,0
40190,24491,0
40190,23710,0
40190,23680,0
40190,23582,0
40190,21638,0
40190,21576,0
40190,20636,0
40190,20522,0
40190,20224,0
40190,19928,0
40190,19924,0
40190,19776,0
40190,19573,0
40190,19571,0
40190,15865,0
40190,756,0
40190,742,0
40190,740,0
39988,15611,0
39988,15203,0
39988,15189,0
39988,15151,0
39988,15141,0
39988,12002,0
39988,11093,0
39988,8183,0
39988,5011,0
39988,5007,0
39988,4753,0
39988,2194,0
39988,1714,0
39988,1684,0
39988,1670,0
39988,1276,0
39988,1266,0
39988,887,0
39988,790,0
39988,788,0
39988,15228,0
39988,15865,0
40190,421,0
39988,19571,0
40190,407,0
39988,44404,0
39988,42272,0
39988,38958,0
39988,36004,0
39988,29775,0
39988,25719,0
39988,24491,0
39988,23710,0
39988,23680,0
39988,23582,0
39988,21638,0
39988,20636,0
39988,20522,0
39988,20224,0
39988,19928,0
39988,19924,0
39988,19776,0
39988,19573,0
3917,8183,0
3917,5314,0
3656,19928,0
36798,20636,0
36798,35999,0
36798,29877,0
36798,29775,0
36798,24491,0
36798,23710,0
36798,23680,0
36798,23582,0
36798,21638,0
36798,21576,0
36798,20522,0
36798,15189,0
36798,20224,0
36798,19928,0
36798,19924,0
36798,19776,0
36798,19573,0
36798,19571,0
36798,15865,0
36798,15611,0
36798,15228,0
36798,36004,0
36798,38958,0
36798,42272,0
36798,44404,0
37546,5011,0
37546,5007,0
37546,4753,0
37546,2194,0
37546,1684,0
37546,1670,0
37546,1276,0
37546,1266,0
37546,887,0
37546,790,0
37546,774,0
37546,770,0
37546,768,0
37546,766,0
37546,756,0
37546,742,0
37546,740,0
37546,421,0
37546,407,0
36798,15203,0
36798,15151,0
3917,5007,0
3656,29775,0
36798,740,0
36798,421,0
36798,407,0
3656,44404,0
3656,42272,0
3656,38958,0
3656,36004,0
3656,35999,0
3656,29877,0
3656,25719,0
36798,15141,0
3656,24491,0
3656,23710,0
3656,23680,0
3656,23582,0
3656,21638,0
3656,21576,0
3656,20636,0
3656,20522,0
3656,20224,0
36798,742,0
36798,756,0
36798,766,0
36798,768,0
36798,12002,0
36798,11093,0
36798,8183,0
36798,7490,0
36798,5011,0
36798,5007,0
36798,4753,0
36798,2194,0
36798,2184,0
36798,1714,0
36798,1684,0
36798,1670,0
36798,1276,0
36798,1266,0
36798,887,0
36798,790,0
36798,788,0
36798,774,0
36798,770,0
37546,7490,0
37546,8183,0
37546,11093,0
37618,19571,0
37618,23680,0
37618,23582,0
37618,21638,0
37618,20636,0
37618,20522,0
37618,20224,0
37618,19924,0
37618,19776,0
37618,19573,0
37618,15865,0
37546,12002,0
37618,15611,0
37618,15228,0
37618,15203,0
37618,15189,0
37618,15151,0
37618,15141,0
