req_turning,req_milling,plan,req_sheet_metal,req_sheet_metal_inserts,one_manufacturer,num_distinct_parts_binned,total_quantity_of_parts_binned,separator,manufacturer_name,post_id_manuf,predBidProb
0,1,quick,1,0,0,>=20,[30-100),,Metalif Inc.,15228,0.2469104229899499
0,1,quick,1,0,0,>=20,>=200,,Hongding Photoelectric Technology,5314,0.6134248442273021
0,1,quick,1,0,0,>=20,>=200,,Metalif Inc.,15228,0.4964967599952305
0,1,quick,1,0,0,>=20,>=200,,P.D.R ELECTRONICS,2184,0.3655787740709752
0,1,quick,1,0,0,>=20,>=200,,Shenzhen KG Model Co. Ltd,36004,0.2736843929237576
0,1,quick,1,0,0,>=20,>=200,,Aloni engineering,4753,0.19134927153329337
0,1,quick,1,0,0,>=20,[100-200),,Hongding Photoelectric Technology,5314,0.37255179835163005
0,1,quick,1,0,0,>=20,[100-200),,Zahavi steel ltd.,788,0.33861313752098565
0,1,quick,1,0,0,>=20,[100-200),,Aloni engineering,4753,0.23892089243650866
0,1,quick,1,0,0,>=20,[100-200),,FGM TEKNİK,15212,0.21829424712227907
0,1,quick,1,0,0,>=20,[100-200),,Shenzhen KG Model Co. Ltd,36004,0.21541714091294337
0,1,quick,1,0,0,[11-20),[10-30),,Hongding Photoelectric Technology,5314,0.34677905258888153
0,1,quick,1,0,0,[11-20),[10-30),,Zahavi steel ltd.,788,0.2665959681901873
0,1,quick,1,0,0,[11-20),[10-30),,P.D.R ELECTRONICS,2184,0.21827821326184693
0,1,quick,1,0,0,[11-20),[10-30),,Aloni engineering,4753,0.15408977069544455
0,1,quick,1,0,0,[11-20),[10-30),,FGM TEKNİK,15212,0.15291118007655463
0,1,quick,1,0,0,[11-20),[1-10),,Zahavi steel ltd.,788,0.39016835866653643
0,1,quick,1,0,0,[11-20),[1-10),,Hongding Photoelectric Technology,5314,0.2521208538258214
0,1,quick,1,0,0,[11-20),[1-10),,"א.ל. כרסומטל זיווד בע""מ",19928,0.22970847004851624
0,1,quick,1,0,0,[11-20),[1-10),,Metalif Inc.,15228,0.22303204246391023
0,1,quick,1,0,0,[11-20),[1-10),,M.ash presicion mechanics,770,0.20537295305140588
0,1,quick,1,0,0,[11-20),[30-100),,Hongding Photoelectric Technology,5314,0.3309345633063427
0,1,quick,1,0,0,[11-20),[30-100),,Zahavi steel ltd.,788,0.30956162689672784
0,1,quick,1,0,0,[11-20),[30-100),,P.D.R ELECTRONICS,2184,0.24294449084485584
0,1,quick,1,0,0,[11-20),[30-100),,Chemograf Ltd.,15611,0.23085227442322354
0,1,quick,1,0,0,[11-20),[30-100),,FGM TEKNİK,15212,0.1896440002210818
0,1,quick,1,0,0,[11-20),>=200,,Hongding Photoelectric Technology,5314,0.5830195248142307
0,1,quick,1,0,0,[11-20),>=200,,P.D.R ELECTRONICS,2184,0.4195637878248422
0,1,quick,1,0,0,[11-20),>=200,,Metalif Inc.,15228,0.3738139223746711
0,1,quick,1,0,0,[11-20),>=200,,MATIC Kft.,1714,0.20936735951503743
0,1,quick,1,0,0,[11-20),>=200,,Zahavi steel ltd.,788,0.19027319318853106
0,1,quick,1,0,0,[11-20),[100-200),,Zahavi steel ltd.,788,0.41164490018446204
0,1,quick,1,0,0,[11-20),[100-200),,Hongding Photoelectric Technology,5314,0.3434775332801575
0,1,quick,1,0,0,[11-20),[100-200),,FGM TEKNİK,15212,0.27265819688559984
0,1,quick,1,0,0,[11-20),[100-200),,P.D.R ELECTRONICS,2184,0.24598793999220323
0,1,quick,1,0,0,[11-20),[100-200),,Aloni engineering,4753,0.11883842971905591
0,1,quick,1,0,1,[4-11),[10-30),,Zahavi steel ltd.,788,0.425247055148422
0,1,quick,1,0,1,[4-11),[10-30),,Hongding Photoelectric Technology,5314,0.366849983045563
0,1,quick,1,0,1,[4-11),[10-30),,Aloni engineering,4753,0.313032759404008
0,1,quick,1,0,1,[4-11),[10-30),,P.D.R ELECTRONICS,2184,0.26418116470542613
0,1,quick,1,0,1,[4-11),[10-30),,Shenzhen KG Model Co. Ltd,36004,0.2583292084826172
0,1,quick,1,0,1,[4-11),[1-10),,Zahavi steel ltd.,788,0.5656409215679864
0,1,quick,1,0,1,[4-11),[1-10),,Aloni engineering,4753,0.3574220943301541
0,1,quick,1,0,1,[4-11),[1-10),,Metalif Inc.,15228,0.31993463618802886
0,1,quick,1,0,1,[4-11),[1-10),,M.ash presicion mechanics,770,0.28403230723911904
0,1,quick,1,0,1,[4-11),[1-10),,Hongding Photoelectric Technology,5314,0.26896901778391946
0,1,quick,1,0,1,[4-11),[30-100),,Zahavi steel ltd.,788,0.47714667378543896
0,1,quick,1,0,1,[4-11),[30-100),,Hongding Photoelectric Technology,5314,0.35058062031621356
0,1,quick,1,0,1,[4-11),[30-100),,P.D.R ELECTRONICS,2184,0.2920964110571614
0,1,quick,1,0,1,[4-11),[30-100),,Aloni engineering,4753,0.2678171937220412
0,1,quick,1,0,1,[4-11),[30-100),,Metalif Inc.,15228,0.24545091230210908
0,1,quick,1,0,1,[4-11),>=200,,Hongding Photoelectric Technology,5314,0.6041182681123461
0,1,quick,1,0,1,[4-11),>=200,,Metalif Inc.,15228,0.4945307236607524
0,1,quick,1,0,1,[4-11),>=200,,P.D.R ELECTRONICS,2184,0.4817119784305815
0,1,quick,1,0,1,[4-11),>=200,,Zahavi steel ltd.,788,0.3235415396047083
0,1,quick,1,0,1,[4-11),>=200,,Shenzhen KG Model Co. Ltd,36004,0.29260511220866176
0,1,quick,1,0,1,[4-11),[100-200),,Zahavi steel ltd.,788,0.5874716104096653
0,1,quick,1,0,1,[4-11),[100-200),,Hongding Photoelectric Technology,5314,0.3634637014443914
0,1,quick,1,0,1,[4-11),[100-200),,P.D.R ELECTRONICS,2184,0.2955152490379745
0,1,quick,1,0,1,[4-11),[100-200),,Aloni engineering,4753,0.25226339154793453
0,1,quick,1,0,1,[4-11),[100-200),,Shenzhen KG Model Co. Ltd,36004,0.23159409104542722
0,1,quick,1,0,1,[1-4),[10-30),,Zahavi steel ltd.,788,0.5986478662283563
0,1,quick,1,0,1,[1-4),[10-30),,Hongding Photoelectric Technology,5314,0.3468031899993798
0,1,quick,1,0,1,[1-4),[10-30),,Shenzhen KG Model Co. Ltd,36004,0.2989912841182175
0,1,quick,1,0,1,[1-4),[10-30),,P.D.R ELECTRONICS,2184,0.29544115886991174
0,1,quick,1,0,1,[1-4),[10-30),,Aloni engineering,4753,0.29265074559260174
0,1,quick,1,0,1,[1-4),[1-10),,Zahavi steel ltd.,788,0.7241601761647205
0,1,quick,1,0,1,[1-4),[1-10),,Aloni engineering,4753,0.33556162381225296
0,1,quick,1,0,1,[1-4),[1-10),,Metalif Inc.,15228,0.313671674574362
0,1,quick,1,0,1,[1-4),[1-10),,"א.ל. כרסומטל זיווד בע""מ",19928,0.30940010159805287
0,1,quick,1,0,1,[1-4),[1-10),,Hongding Photoelectric Technology,5314,0.25214094578516705
0,1,quick,1,0,1,[1-4),[30-100),,Zahavi steel ltd.,788,0.6478557826764202
0,1,quick,1,0,1,[1-4),[30-100),,Hongding Photoelectric Technology,5314,0.33095815663262595
0,1,quick,1,0,1,[1-4),[30-100),,P.D.R ELECTRONICS,2184,0.32519970844061397
0,1,quick,1,0,1,[1-4),[30-100),,Aloni engineering,4753,0.2493107900724038
0,1,quick,1,0,1,[1-4),[30-100),,Metalif Inc.,15228,0.2401311792111064
0,1,quick,1,0,1,[1-4),>=200,,Hongding Photoelectric Technology,5314,0.5830454287410355
0,1,quick,1,0,1,[1-4),>=200,,P.D.R ELECTRONICS,2184,0.5205039830479221
0,1,quick,1,0,1,[1-4),>=200,,Zahavi steel ltd.,788,0.4908912144666622
0,1,quick,1,0,1,[1-4),>=200,,Metalif Inc.,15228,0.4872989630516406
0,1,quick,1,0,1,[1-4),>=200,,Shenzhen KG Model Co. Ltd,36004,0.33621660065770653
0,1,quick,1,0,1,[1-4),[100-200),,Zahavi steel ltd.,788,0.7416624680055456
0,1,quick,1,0,1,[1-4),[100-200),,Hongding Photoelectric Technology,5314,0.3435015617324486
0,1,quick,1,0,1,[1-4),[100-200),,P.D.R ELECTRONICS,2184,0.3288260270329024
0,1,quick,1,0,1,[1-4),[100-200),,Shenzhen KG Model Co. Ltd,36004,0.26957752416588815
0,1,quick,1,0,1,[1-4),[100-200),,Aloni engineering,4753,0.23448756172839505
0,1,quick,1,0,1,>=20,[10-30),,Aloni engineering,4753,0.5575556992875319
